Name,Latitude,Longitude
BMW AG Niederlassung Berlin Filiale Weißensee,52.562568863415,13.463589476607
Autohaus Graubaum GmbH,52.4528925,13.521265
Autohaus Reier GmbH & Co. KG,52.56473,13.32521
BMW AG Niederlassung Berlin Filiale Marzahn,52.509789,13.563749
Riller & Schnauck GmbH,52.4518,13.31541
BMW AG Niederlassung Berlin,52.509665,13.282042
Nefzger GmbH & Co. KG,52.518526,13.281344
Riller & Schnauck GmbH,52.404225,13.442137
Nefzger GmbH & Co. KG,52.537453333333,13.25515
Riller & Schnauck GmbH,52.426952,13.544676
Autohaus C. Ehrl GmbH,52.517483679301,13.174933923397
Riller & Schnauck GmbH,52.39821,13.24249
Autohaus Skjellet GmbH,52.6724,13.56986
Andreas Ehrl Potsdam GmbH & Co. KG,52.376294551128,13.111790526163
Wernecke GmbH,52.31047,13.63327
Wernecke GmbH,52.227014,13.443838
Autohaus Reier GmbH & Co. KG,52.77314,13.262145
Autohaus Skjellet GmbH,52.581753863464,13.899852904853
Autohaus Skjellet GmbH,52.836639938158,13.804769196064
Autohaus Marco Buzziol e.K.,52.33563,14.07419
Michael Ludwig e. K.,52.88644,12.79925
Autohaus Ludwig GmbH,52.43797,12.52779
Michael Ludwig e. K.,52.59903,12.29585
Genzel & Co. GmbH,53.044957064537,14.238059264406
Autohaus Müller Wittenberg GmbH,51.8656,12.62189
Wolter & Steiner GmbH,53.33202,13.86798
Wernecke GmbH,51.77937,14.32071
B&K GmbH & Co. KG,52.58804,11.87206
Michael Ludwig e. K.,53.146072,12.174681
Schubert Motors GmbH,52.258307,11.84115
Autohaus Ehrl GmbH Dessau,51.81819,12.21777
Autohaus Berger GmbH,51.465809,13.49929
mobilforum GmbH,51.52889,14.01608
Wolter & Steiner GmbH,53.593364,13.277444
Wolter & Steiner Handels GmbH,53.520330729207,12.717618495597
Autohaus Müller Eilenburg GmbH,51.45721,12.61501
Schubert Motors GmbH,52.1171284,11.616324899999
Autohaus Eifler OHG,51.754722983199,11.945528996419
Autohaus Müller Wurzen GmbH,51.385556474012,12.730999856026
Autohaus Andreas Pulz,51.29522,13.28582
Autohaus Kühne GmbH,51.30242,13.09402
Schubert Motors GmbH,52.2832,11.42981
BMW AG Niederlassung Leipzig Filiale Werk Leipzig,51.411962,12.437038
Schubert Motors GmbH,51.809822,11.724461
Autohaus Müller Leipzig GmbH,51.348185,12.47345
Autohaus Kühne GmbH,51.256128885374,12.726615596934
Autohaus M & M Parchim GmbH,53.4168,11.817125
BMW AG Niederlassung Leipzig,51.315688753707,12.394515167161
Autohaus Ehrl GmbH Halle Zentrum,51.478791,11.997236
Autohaus Kühne GmbH,51.136120189015,13.096129308922
Schubert Motors GmbH,51.770088,11.48603
Autohaus Ehrl GmbH Halle,51.471607,11.882819
Autohaus Norbert Stang e.K.,53.386925,11.580795
Schubert Motors GmbH,52.029195,11.24354
Autohaus Weigl GmbH,51.37142,11.98421
mobilforum GmbH,51.13546,14.18993
B&K GmbH & Co. KG,52.867046066657,11.095853964946
Autohaus Melkus GmbH,51.059551918234,13.699065020982
Autohaus Ruffert GmbH,51.185445574805,14.43886875449
Autohaus Fritze GmbH & Co. KG,51.5598649,11.54786
Autohaus Wigger GmbH,53.81291,12.19045
BMW AG Niederlassung Dresden,51.01518,13.77198
Automobile Görnitz,50.97672,13.43594
Schubert Motors GmbH,52.422700697527,10.862822990305
Autohaus Manfred Eggert GmbH,54.071401,13.392355
